;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;HTGDBG;HTGDAG;ATGDBG;ATGDAG;HTPBG;HTPAG;ATPBG;ATPAG
370;24/05/2019;Amiens;Guingamp;2;1;H;1.53;4.0;6.5;-22;-21;-39;-40;35;38;27;27
371;24/05/2019;Angers;St Etienne;1;1;D;2.62;3.4;2.62;-5;-5;18;18;45;46;65;66
372;24/05/2019;Caen;Bordeaux;0;1;A;1.72;3.6;5.25;-24;-25;-9;-8;33;33;38;41
373;24/05/2019;Dijon;Toulouse;2;1;H;1.5;4.5;6.0;-30;-29;-21;-22;31;34;38;38
374;24/05/2019;Marseille;Montpellier;1;0;H;1.85;4.2;3.75;7;8;12;11;58;61;59;59
375;24/05/2019;Nantes;Strasbourg;0;1;A;1.65;3.8;5.5;1;0;9;10;48;48;46;49
376;24/05/2019;Nice;Monaco;2;0;H;3.1;3.5;2.25;-7;-5;-17;-19;53;56;36;36
377;24/05/2019;Nimes;Lyon;2;3;A;3.4;3.8;2.0;0;-1;22;23;53;53;69;72
378;24/05/2019;Reims;Paris SG;3;1;H;6.5;5.0;1.45;-5;-3;72;70;52;55;91;91
379;24/05/2019;Rennes;Lille;3;1;H;2.62;3.6;2.5;1;3;37;35;49;52;75;75